time,longitude,latitude,pr
1973-10-01,31.5,-25.0,0.39912888
1973-10-02,31.5,-25.0,0.06720027
1973-10-03,31.5,-25.0,0.068218455
1973-10-04,31.5,-25.0,0.0
1973-10-05,31.5,-25.0,0.008145487
1973-10-06,31.5,-25.0,0.035636507
1973-10-07,31.5,-25.0,0.072291195
1973-10-08,31.5,-25.0,0.0
1973-10-09,31.5,-25.0,0.0
1973-10-10,31.5,-25.0,14.545803
1973-10-11,31.5,-25.0,6.560172
1973-10-12,31.5,-25.0,7.4174843
1973-10-13,31.5,-25.0,0.0
1973-10-14,31.5,-25.0,8.992618
1973-10-15,31.5,-25.0,12.568487
1973-10-16,31.5,-25.0,10.414005
1973-10-17,31.5,-25.0,4.0136886
1973-10-18,31.5,-25.0,3.510705
1973-10-19,31.5,-25.0,0.3105467
1973-10-20,31.5,-25.0,0.0
1973-10-21,31.5,-25.0,0.080436684
1973-10-22,31.5,-25.0,0.11505501
1973-10-23,31.5,-25.0,0.015272787
1973-10-24,31.5,-25.0,0.010181859
1973-10-25,31.5,-25.0,0.0
1973-10-26,31.5,-25.0,0.25760102
1973-10-27,31.5,-25.0,3.1024125
1973-10-28,31.5,-25.0,1.8724437
1973-10-29,31.5,-25.0,0.0
1973-10-30,31.5,-25.0,0.0020363717
1973-10-31,31.5,-25.0,0.059054784
1973-11-01,31.5,-25.0,3.4615037
1973-11-02,31.5,-25.0,0.9086187
1973-11-03,31.5,-25.0,0.3282281
1973-11-04,31.5,-25.0,0.168803
1973-11-05,31.5,-25.0,0.09169547
1973-11-06,31.5,-25.0,0.10836737
1973-11-07,31.5,-25.0,2.1319196
1973-11-08,31.5,-25.0,2.1735992
1973-11-09,31.5,-25.0,0.0
1973-11-10,31.5,-25.0,1.4587916
1973-11-11,31.5,-25.0,0.5949786
1973-11-12,31.5,-25.0,0.0
1973-11-13,31.5,-25.0,2.45077
1973-11-14,31.5,-25.0,0.4991151
1973-11-15,31.5,-25.0,1.0680437
1973-11-16,31.5,-25.0,0.001041994
1973-11-17,31.5,-25.0,0.0
1973-11-18,31.5,-25.0,0.001041994
1973-11-19,31.5,-25.0,0.5626768
1973-11-20,31.5,-25.0,0.09794743
1973-11-21,31.5,-25.0,1.2316369
1973-11-22,31.5,-25.0,7.808703
1973-11-23,31.5,-25.0,18.51519
1973-11-24,31.5,-25.0,10.313657
1973-11-25,31.5,-25.0,3.5208979
1973-11-26,31.5,-25.0,3.8345375
1973-11-27,31.5,-25.0,0.21986072
1973-11-28,31.5,-25.0,1.3316683
1973-11-29,31.5,-25.0,0.40325165
1973-11-30,31.5,-25.0,0.00814639
1973-12-01,31.5,-25.0,0.8437333
1973-12-02,31.5,-25.0,0.00116377
1973-12-03,31.5,-25.0,0.01978409
1973-12-04,31.5,-25.0,0.040731944
1973-12-05,31.5,-25.0,0.43059486
1973-12-06,31.5,-25.0,0.015129009
1973-12-07,31.5,-25.0,0.6668402
1973-12-08,31.5,-25.0,0.15245385
1973-12-09,31.5,-25.0,10.85681
1973-12-10,31.5,-25.0,12.531475
1973-12-11,31.5,-25.0,0.86468107
1973-12-12,31.5,-25.0,0.0
1973-12-13,31.5,-25.0,0.00232754
1973-12-14,31.5,-25.0,0.00232754
1973-12-15,31.5,-25.0,1.1730801
1973-12-16,31.5,-25.0,2.1366816
1973-12-17,31.5,-25.0,0.4538703
1973-12-18,31.5,-25.0,5.9142785
1973-12-19,31.5,-25.0,39.734596
1973-12-20,31.5,-25.0,117.43137
1973-12-21,31.5,-25.0,38.09485
1973-12-22,31.5,-25.0,0.7250287
1973-12-23,31.5,-25.0,4.8482656
1973-12-24,31.5,-25.0,5.029814
1973-12-25,31.5,-25.0,0.39800933
1973-12-26,31.5,-25.0,1.6304415
1973-12-27,31.5,-25.0,1.8399203
1973-12-28,31.5,-25.0,1.3127325
1973-12-29,31.5,-25.0,0.0
1973-12-30,31.5,-25.0,0.02793048
1973-12-31,31.5,-25.0,0.40848327
1974-01-01,31.5,-25.0,0.035124402
1974-01-02,31.5,-25.0,0.32782775
1974-01-03,31.5,-25.0,0.85001045
1974-01-04,31.5,-25.0,3.48317
1974-01-05,31.5,-25.0,1.6976793
1974-01-06,31.5,-25.0,2.710433
1974-01-07,31.5,-25.0,0.87459767
1974-01-08,31.5,-25.0,0.0960067
1974-01-09,31.5,-25.0,0.89801383
1974-01-10,31.5,-25.0,0.28450766
1974-01-11,31.5,-25.0,0.084298566
1974-01-12,31.5,-25.0,0.0
1974-01-13,31.5,-25.0,16.903034
1974-01-14,31.5,-25.0,9.345432
1974-01-15,31.5,-25.0,0.09249426
1974-01-16,31.5,-25.0,0.40041816
1974-01-17,31.5,-25.0,2.6448674
1974-01-18,31.5,-25.0,0.20020907
1974-01-19,31.5,-25.0,0.026928708
1974-01-20,31.5,-25.0,0.6451182
1974-01-21,31.5,-25.0,0.42500523
1974-01-22,31.5,-25.0,8.873594
1974-01-23,31.5,-25.0,0.6884383
1974-01-24,31.5,-25.0,27.85014
1974-01-25,31.5,-25.0,16.993185
1974-01-26,31.5,-25.0,2.7092624
1974-01-27,31.5,-25.0,0.0011708133
1974-01-28,31.5,-25.0,0.16976795
1974-01-29,31.5,-25.0,14.143425
1974-01-30,31.5,-25.0,4.096676
1974-01-31,31.5,-25.0,3.4520097
1974-02-01,31.5,-25.0,1.6796594
1974-02-02,31.5,-25.0,1.3941618
1974-02-03,31.5,-25.0,0.61431986
1974-02-04,31.5,-25.0,0.0011108858
1974-02-05,31.5,-25.0,0.072207585
1974-02-06,31.5,-25.0,0.055544294
1974-02-07,31.5,-25.0,6.3431582
1974-02-08,31.5,-25.0,1.3952727
1974-02-09,31.5,-25.0,0.68652743
1974-02-10,31.5,-25.0,0.0
1974-02-11,31.5,-25.0,0.05443341
1974-02-12,31.5,-25.0,1.8562901
1974-02-13,31.5,-25.0,8.08725
1974-02-14,31.5,-25.0,2.5050476
1974-02-15,31.5,-25.0,0.35215083
1974-02-16,31.5,-25.0,0.0
1974-02-17,31.5,-25.0,14.343758
1974-02-18,31.5,-25.0,32.486748
1974-02-19,31.5,-25.0,1.6696613
1974-02-20,31.5,-25.0,0.8731563
1974-02-21,31.5,-25.0,0.0788729
1974-02-22,31.5,-25.0,0.0
1974-02-23,31.5,-25.0,7.851742
1974-02-24,31.5,-25.0,2.8272047
1974-02-25,31.5,-25.0,2.1495643
1974-02-26,31.5,-25.0,6.3642654
1974-02-27,31.5,-25.0,2.2251043
1974-02-28,31.5,-25.0,0.9187026
1974-03-01,31.5,-25.0,-1.6653347e-13
1974-03-02,31.5,-25.0,5.754375
1974-03-03,31.5,-25.0,5.351882
1974-03-04,31.5,-25.0,2.6000452
1974-03-05,31.5,-25.0,1.6256402
1974-03-06,31.5,-25.0,0.29770762
1974-03-07,31.5,-25.0,0.08813713
1974-03-08,31.5,-25.0,0.20075679
1974-03-09,31.5,-25.0,5.520322
1974-03-10,31.5,-25.0,1.6021373
1974-03-11,31.5,-25.0,0.77071023
1974-03-12,31.5,-25.0,1.2006235
1974-03-13,31.5,-25.0,1.2711332
1974-03-14,31.5,-25.0,0.002937904
1974-03-15,31.5,-25.0,2.4316053
1974-03-16,31.5,-25.0,2.5559769
1974-03-17,31.5,-25.0,3.3443146
1974-03-18,31.5,-25.0,10.59898
1974-03-19,31.5,-25.0,0.10576455
1974-03-20,31.5,-25.0,0.014689522
1974-03-21,31.5,-25.0,2.816471
1974-03-22,31.5,-25.0,-1.6653347e-13
1974-03-23,31.5,-25.0,1.030225
1974-03-24,31.5,-25.0,1.572758
1974-03-25,31.5,-25.0,1.2965951
1974-03-26,31.5,-25.0,0.0724683
1974-03-27,31.5,-25.0,0.5924773
1974-03-28,31.5,-25.0,0.13024709
1974-03-29,31.5,-25.0,3.259115
1974-03-30,31.5,-25.0,0.015668822
1974-03-31,31.5,-25.0,-1.63064e-13
1974-04-01,31.5,-25.0,0.6788757
1974-04-02,31.5,-25.0,2.974164
